,Name,Type,ABV
0,"Ah, Sure Look",Dark Lager ,5.5
1,BLVD ’89,Lager,4.5
2,Bob’s ’47 Oktoberfest,Oktoberfest / Märzen,5.9
3,Cranberry Tank 7,Smokestack Limited Release ,8.5
4,Dark Crator,Barrel-Aged Dopplebock ,12.5
5,Frozen Raider,Double Cold IPA ,8.0
6,Joker’s Wit,Belgian-style Double Witbier ,7.4
7,Pale Ale,American Pale Ale,5.4
8,Southwest BLVD,Lager with Salt & Lime ,4.5
9,Space Camper Cosmic IPA,India Pale Ale,5.9
10,Strawberry Wheat,Limited Release ,4.4
11,Tank 7,American Saison Ale,8.5
12,Unfiltered Wheat Beer,Hazy American Classic,4.4
13,Berry Noir,Sour Ale with Mixed Berries,4.2
14,Bourbon Barrel Quad,Barrel-Aged Ale,12.2
15,Dark Truth Stout,Imperial Stout,9.7
16,Flying Start,Non-Alcoholic IPA,0.5
17,Rye on Rye,Whiskey Barrel-Aged Ale ,12.2
18,Single-Wide IPA,American India Pale Ale,5.7
19,The Sixth Glass,Quadrupel Ale,10.2
20,Whiskey Barrel Stout,Barrel-Aged Imperial Stout,11.8
21,Another Round,Imperial Wheat Beer ,8.0
22,Barrel-Aged Imperial Porter,Brewer's Choice ,13.9
23,Barrel-Aged Imperial Stout And Barleywine Blend,Brewer's Choice ,14.2
24,Barrel-Aged Wheat Wine,Firestone Walker Brewery Collaboration ,9.9
25,Belgian Abbey-Style,Single ,5.2
26,Bière De Garde,Brewer's Choice - Rob & Sterling ,5.9
27,Brewa Bunga Cove,"Imperial Golden Stout with Coffee, Hazelnut and Vanilla",8
28,Buck O’Neil – Barrel-Aged Saison,Chardonnay Barrel-Aged Saison,9.0
29,Chocolate Ale (2023),Ale with cacao nibs and vanilla extract,8.7
30,Chocolate-Cherry Dipped,Imperial Stout ,15
31,Churro Grande,Barrel-Aged Imperial Brown ,12
32,Cinnamon Bun Ale,Imperial Brown Ale With Cinnamon And Vanilla,9.5
33,Crème Brûlée,Barleywine Ale,13.3
34,Cybersonic C-Hops,Double IPA,8.5
35,Dank 7,Belgian-style IPA ,7
36,Dream Vision,Orange Vanilla Ale ,5.7
37,Five Bourbon Barrel Imperial Stout,Brewer's Choice ,13.3
38,Ginger Lemon Radler,Radler,4.1
39,Irish Ale,Irish Red Ale,5.8
40,Magic Drip,Barrel-Aged Wheated Imperial Stout with Colombian Coffee,13.5
41,Mango Jungle,Uncharted Ale ,4.2
42,Maple Mood,Barrel-Aged Imperial Stout ,12.5
43,Milk Stout,Brewer's Choice ,5.8
44,More S’more,Barrel-Aged Imperial Stout ,11.8
45,Nutcracker Ale,Winter Warmer,7.8
46,Proper Pour,Double barrel-aged imperial stout,13.8
47,Proper Pour – 2023,Double barrel-aged imperial stout aged in cabernet barrels ,12.6
48,Rum Barrel-Aged Spice Cake,Imperial Brown Ale,12.7
49,Saison,Brewer's Choice ,5.9
50,Space Camper Hyper Warp,Black IPA,5.9
51,Space Camper Red Spectra,Red IPA,5.7
52,Space Camper | Alpha Vapor,Nebulous IPA,5.9
53,Space Camper | Delta Ray IPA,Intergalactic Hazy IPA ,4.4
54,Space Camper | Gigahop IPA,Dual Hemisphere IPA,5.9
55,Space Camper | Lotus Aura,India Pale Ale,4.9
56,Space Camper | Nova Flare,West Coast-Style IPA ,5.9
57,Space Camper | Star Haze,India Pale Ale,5.9
58,Teal Rising,Proud Pilsner ,4.0
59,Tenpenny,American Bitter ,4.2
60,Terror From the Deep,Double IPA ,8.0
61,Tropic Slam,Tart Island Ale ,4.2
62,Unfiltered Grapefruit Wheat,Hazy American Classic,4.4
63,Zon,Belgian-Style Witbier,4.4
